Model,F1 Micro,F1 Macro,Accuracy
Random Forest,0.30068166962368104,0.244870602351872,0.14433922851970477
KNN,0.324455205811138,0.19583601882368237,0.15652416098036484
Neural Network (MLP),0.09792326645547343,0.04694714702736083,0.02673722322796268
Naive Bayes,0.1197834002427411,0.09094323149944462,0.0030636401615373905
